ID,Job Title,Company Title,Tenure,Job Type
181032CAD0000007,Show Production Intern,Shop JapanShop Japan,Jul 2015 - Aug 2015 · 2 mos,p JapanShop Japan
181506KOM0000015,Technical Staff,National Institute of Advanced Industrial Science and Technology (AIST) ,Aug 2022 - Present · 1 yr 5 mos,ional Institute of Advanced Industrial Science and Technology (AIST) · ContractNational Institute of Advanced Industrial Science and Technology (AIST) · Contract
181506KOM0000015,Artificial Intelligence Research Engineer,DeepChain AI&IT Technologies ,Mar 2022 - Jul 2022 · 5 mos,eepChain AI&IT Technologies · Full-timeDeepChain AI&IT Technologies · Full-time
181506KOM0000015,Associate Machine Learning Engineer,iENGINEERING ,Jul 2021 - Feb 2022 · 8 mos,ENGINEERING · Full-timeiENGINEERING · Full-time
181506KOM0000015,Big Data Research Intern,National Institute of Advanced Industrial Science and Technology (AIST) ,Aug 2019 - Dec 2019 · 5 mos,ional Institute of Advanced Industrial Science and Technology (AIST) · InternshipNational Institute of Advanced Industrial Science and Technology (AIST) · Internship
181542EME0000016,Data Scientist,MC Digital ,Apr 2023 - Present · 9 mos,C Digital · PermanentMC Digital · Permanent
181542EME0000016,Data Scientist,Rakuten ,Nov 2018 - Mar 2023 · 4 yrs 5 mos,en · PermanentRakuten · Permanent
181542EME0000016,Data Analysis Research Assistant,UC Santa Barbara ,Feb 2018 - Feb 2019 · 1 yr 1 mo,Santa Barbara · ApprenticeshipUC Santa Barbara · Apprenticeship
181542EME0000016,Healthcare Data Analyst,Pacific Consulting GroupPacific Consulting Group,Jun 2017 - Sep 2017 · 4 mos,fic Consulting GroupPacific Consulting Group
181542EME0000016,Media & Outreach Intern  (Tech/Medical Industry),Cancer Commons ,May 2012 - Aug 2013 · 1 yr 4 mos,r Commons · InternshipCancer Commons · Internship
181542EME0000016,Tutor/Grader,"Kumon North America, Inc.Kumon North America, Inc.",Jan 2010 - Feb 2012 · 2 yrs 2 mos,"n North America, Inc.Kumon North America, Inc."
181614PRA0000017,Lead Data Scientist,Rakuten ,Feb 2020 - Present · 3 yrs 11 mos,en · PermanentRakuten · Permanent
181614PRA0000017,Lead Data Scientist,TCSJ ,Jun 2018 - Jan 2020 · 1 yr 8 mos,· PermanentTCSJ · Permanent
181614PRA0000017,Data Scientist,SOLIZE CorporationSOLIZE Corporation,Apr 2015 - May 2018 · 3 yrs 2 mos,CorporationSOLIZE Corporation
181614PRA0000017,Research Associate,EvalueserveEvalueserve,Jul 2014 - Jan 2015 · 7 mos,ueserveEvalueserve
181614PRA0000017,Student,IIT RoorkeeIIT Roorkee,Jul 2009 - Jun 2014 · 5 yrs,RoorkeeIIT Roorkee
181614PRA0000017,Summer Intern,Mitsui Chemicals GroupMitsui Chemicals Group,Jun 2012 - Jul 2012 · 2 mos,itsui Chemicals GroupMitsui Chemicals Group
181724MAN0000019,Senior Data Scientist,"Rakuten Mobile, Inc. ",Apr 2020 - Aug 2023 · 3 yrs 5 mos,"en Mobile, Inc. · PermanentRakuten Mobile, Inc. · Permanent"
181724MAN0000019,Data Scientist,Rakuten ,Sep 2018 - Mar 2020 · 1 yr 7 mos,en · PermanentRakuten · Permanent
181724MAN0000019,Deep Learning Specialist,SubexSubex,Dec 2016 - Sep 2018 · 1 yr 10 mos,xSubex
181724MAN0000019,Data Scientist,Fidelity InvestmentsFidelity Investments,Jun 2015 - Aug 2016 · 1 yr 3 mos,delity InvestmentsFidelity Investments
181724MAN0000019,Member Of Technical Staff,Brisa Technologies Private LimitedBrisa Technologies Private Limited,Jul 2014 - Jun 2015 · 1 yr,sa Technologies Private LimitedBrisa Technologies Private Limited
181724MAN0000019,"Intern, Systems design",Broadcom Inc.Broadcom Inc.,Jul 2013 - Jun 2014 · 1 yr,adcom Inc.Broadcom Inc.
182008RIE0000024,Data Science Manager,Accenture ,May 2023 - Present · 8 mos,nture · Full-timeAccenture · Full-time
182008RIE0000024,Data Scientist,Smart119Smart119,Jun 2020 - Apr 2023 · 2 yrs 11 mos,119Smart119
182048NHU0000025,Senior Data Scientist,WhiteNarwhal ,Aug 2020 - Present · 3 yrs 5 mos,teNarwhal · PermanentWhiteNarwhal · Permanent
182048NHU0000025,HugGAN Event Contributor,Hugging Face ,Mar 2022 - Apr 2022 · 2 mos,ng Face · Part-timeHugging Face · Part-time
182048NHU0000025,Portfolio Planning Specialist,AMWAY JAPAN G.K.AMWAY JAPAN G.K.,Sep 2019 - Aug 2020 · 1 yr,WAY JAPAN G.K.AMWAY JAPAN G.K.
182048NHU0000025,Overseas Market Development Specialist,"Senkon Logistics Co., LtdSenkon Logistics Co., Ltd",Mar 2018 - Aug 2019 · 1 yr 6 mos,"nkon Logistics Co., LtdSenkon Logistics Co., Ltd"
182048NHU0000025,Japan Government MEXT Scholarship,"Japan Ministry of Education, Culture, Sports, Science and TechnologyJapan Ministry of Education, Culture, Sports, Science and Technology",Oct 2016 - Sep 2018 · 2 yrs,"Ministry of Education, Culture, Sports, Science and TechnologyJapan Ministry of Education, Culture, Sports, Science and Technology"
182048NHU0000025,Customer Market Insight Assistant Manager,UnileverUnilever,Jun 2014 - Aug 2016 · 2 yrs 3 mos,leverUnilever
182048NHU0000025,Tax & Advisory Services Intern,EYEY,Jan 2014 - Mar 2014 · 3 mos,
182414HAR0000031,Mathematical Optimization Engineer,Rengo Co Ltd ,Apr 2023 - May 2023 · 2 mos,ngo Co Ltd · ContractRengo Co Ltd · Contract
182414HAR0000031,Python Engineer,Apprhythm inc. ,Feb 2023 - Mar 2023 · 2 mos,hm inc. · ContractApprhythm inc. · Contract
182414HAR0000031,Design for Dynamic Management of Airspace and Simulation Development,"Blue innovation Co., Ltd. ",Feb 2022 - Jan 2023 · 1 yr,"ue innovation Co., Ltd. · ContractBlue innovation Co., Ltd. · Contract"
182414HAR0000031,Data Scientist / Machine Learning Engineer,"AI Quest - Yao Seibyo Co., Ltd. ",Sep 2021 - Aug 2022 · 1 yr,"Quest - Yao Seibyo Co., Ltd. · Part-timeAI Quest - Yao Seibyo Co., Ltd. · Part-time"
182414HAR0000031,Data Scientist / Machine Learning Engineer,Apprhythm inc. ,Aug 2021 - Oct 2021 · 3 mos,hm inc. · ContractApprhythm inc. · Contract
182414HAR0000031,Data Scientist,AI Engineer,Deep Learning,Engineer
182414HAR0000031,Java Software Engineer,Earth Inter Systems ,Apr 2020 - Jul 2020 · 4 mos,h Inter Systems · Full-timeEarth Inter Systems · Full-time
182414HAR0000031,Software Test Engineer,NEC Corporation ,Oct 2019 - Mar 2020 · 6 mos,Corporation · Full-timeNEC Corporation · Full-time
182414HAR0000031,Perl Engineer,"Sumitomo Electric Information Systems Co., Ltd.Sumitomo Electric Information Systems Co., Ltd.",Apr 2019 - Oct 2019 · 7 mos,"tomo Electric Information Systems Co., Ltd.Sumitomo Electric Information Systems Co., Ltd."
182414HAR0000031,C# Engineer,"UNICO Co., Ltd.UNICO Co., Ltd.",Mar 2019 · 1 mo,"Co., Ltd.UNICO Co., Ltd."
182414HAR0000031,Software Test Engineer,NEC CorporationNEC Corporation,Oct 2018 - Feb 2019 · 5 mos,CorporationNEC Corporation
182414HAR0000031,Perl Engineer,"Sumitomo Electric Information Systems Co., Ltd.Sumitomo Electric Information Systems Co., Ltd.",Feb 2018 - Sep 2018 · 8 mos,"tomo Electric Information Systems Co., Ltd.Sumitomo Electric Information Systems Co., Ltd."
182414HAR0000031,Java Software Engineer,"Quest-Com Co., Ltd.  ",Nov 2017 - Jan 2018 · 3 mos,"st-Com Co., Ltd.  · PermanentQuest-Com Co., Ltd.  · Permanent"
182414HAR0000031,Software Engineer,Bloomberg LP ,Jan 2001 - Sep 2003 · 2 yrs 9 mos,oomberg LP · PermanentBloomberg LP · Permanent
182447HAO0000032,Data Scientist,Apple ,Sep 2019 - Present · 4 yrs 4 mos,e · PermanentApple · Permanent
182447HAO0000032,Machine Learning Engineer,"Mercari, Inc.Mercari, Inc.",Jun 2017 - Aug 2019 · 2 yrs 3 mos,"ercari, Inc.Mercari, Inc."
182447HAO0000032,Business Intelligence Analyst,Indeed.comIndeed.com,Sep 2016 - May 2017 · 9 mos,eed.comIndeed.com
182447HAO0000032,Data Scientist,PaidyPaidy,Jun 2016 - Aug 2016 · 3 mos,dyPaidy
182447HAO0000032,Data Scientist/Software Engineer,RakutenRakuten,Apr 2015 - Jun 2016 · 1 yr 3 mos,enRakuten
182447HAO0000032,Project Researcher,The University of TokyoThe University of Tokyo,Oct 2014 - Mar 2015 · 6 mos, University of TokyoThe University of Tokyo
182447HAO0000032,Visiting Researcher,CNRS - Centre national de la recherche scientifiqueCNRS - Centre national de la recherche scientifique,Dec 2012 - Feb 2013 · 3 mos,#NAME?
182552CHE0000034,Data Scient,AnyMind Group ,Mar 2022 - Present · 1 yr 10 mos,ind Group · PermanentAnyMind Group · Permanent
182552CHE0000034,Data Scientist / Software Engineer,Rakuten ,Aug 2019 - Present · 4 yrs 5 mos,en · PermanentRakuten · Permanent
182552CHE0000034,Military Service,TW Military Service ,Feb 2019 - May 2019 · 4 mos,Military Service · Full-timeTW Military Service · Full-time
182552CHE0000034,NLU Developer,AielloAiello,Jan 2019 · 1 mo,elloAiello
182552CHE0000034,Artificial Intelligence Intern,National Institute of Informatics [Japan] 国立情報学研究所National Institute of Informatics [Japan] 国立情報学研究所,Aug 2017 - Feb 2018 · 7 mos,ional Institute of Informatics [Japan] 国立情報学研究所National Institute of Informatics [Japan] 国立情報学研究所
182552CHE0000034,Freelancer,Freelancer  ,Sep 2015 - Jun 2016 · 10 mos,elancer  · FreelanceFreelancer  · Freelance
183050PUJ0000043,Software Developer / Application Developer,Self-employed,2013 - Present · 11 yrs,lf-employedSelf-employed
183230ABE0000046,Data Scientist,Freelance Data Scientist ,Jun 2020 - Present · 3 yrs 7 mos,elance Data Scientist · FreelanceFreelance Data Scientist · Freelance
183230ABE0000046,Education Mentor,DQLab ,Jul 2021 - Present · 2 yrs 6 mos,QLab · SeasonalDQLab · Seasonal
183230ABE0000046,Data Consultant,Innovatz Solutions ,Mar 2021 - Oct 2021 · 8 mos,vatz Solutions · Full-timeInnovatz Solutions · Full-time
183230ABE0000046,Data Scientist,PT. Pegadaian ,Mar 2021 - Oct 2021 · 8 mos,Pegadaian · ContractPT. Pegadaian · Contract
183230ABE0000046,Research Assistant,Work Design Analysis and Ergonomics Laboratory ,Jul 2018 - Jun 2020 · 2 yrs,rk Design Analysis and Ergonomics Laboratory · Full-timeWork Design Analysis and Ergonomics Laboratory · Full-time
183230ABE0000046,Manufacturing & Production,Charoen Pokphand Indonesia ,Jan 2020 - Mar 2020 · 3 mos,en Pokphand Indonesia · InternshipCharoen Pokphand Indonesia · Internship
183230ABE0000046,Planning and Procurement trainee,PT PLN (Persero) ,Dec 2018 - Jan 2019 · 2 mos,PLN (Persero) · InternshipPT PLN (Persero) · Internship
183440XUA0000050,Senior Data Scientist,IBM ,Aug 2021 - Present · 2 yrs 5 mos, · PermanentIBM · Permanent
183440XUA0000050,Data Scientist,PwC Japan ,Dec 2019 - Jul 2021 · 1 yr 8 mos,Japan · Full-timePwC Japan · Full-time
183440XUA0000050,Machine Learning Researcher (General manager),Arithmer ,Sep 2019 - Dec 2019 · 4 mos,thmer · Full-timeArithmer · Full-time
183440XUA0000050,Data Scientist,JapanTaxi Co. Ltd. ,Sep 2018 - Aug 2019 · 1 yr, Co. Ltd. · Full-timeJapanTaxi Co. Ltd. · Full-time
183440XUA0000050,Associate Specialist,"University of California, San Francisco - School of Medicine ",Apr 2015 - Sep 2016 · 1 yr 6 mos,"versity of California, San Francisco - School of Medicine · Full-timeUniversity of California, San Francisco - School of Medicine · Full-time"
183440XUA0000050,Second Author (Supervisor: Gordon Legge),University of MinnesotaUniversity of Minnesota,Oct 2011 - Aug 2013 · 1 yr 11 mos,versity of MinnesotaUniversity of Minnesota
183515TOM0000051,Data Scientist,IBM ,Sep 2016 - Present · 7 yrs 4 mos, · PermanentIBM · Permanent
183515TOM0000051,Senior Manager,AccentureAccenture,Jun 2015 - Aug 2016 · 1 yr 3 mos,ntureAccenture
183515TOM0000051,Associate Vice President,PacteraPactera,May 2014 - May 2015 · 1 yr 1 mo,eraPactera
183515TOM0000051,Senior Program Manager,SonySony,Mar 2013 - Apr 2014 · 1 yr 2 mos,nySony
183844MAR0000057,Senior Data Scientist,Indeed.com ,Jul 2017 - Present · 6 yrs 6 mos,eed.com · Full-timeIndeed.com · Full-time
183844MAR0000057,Data Scientist,17 Media17 Media,Apr 2016 - May 2017 · 1 yr 2 mos,Media17 Media
183844MAR0000057,Senior Software Engineer (Machine Learning),"TenMax AD Tech Lab Co., LTD.TenMax AD Tech Lab Co., LTD.",Oct 2014 - Mar 2016 · 1 yr 6 mos,"nMax AD Tech Lab Co., LTD.TenMax AD Tech Lab Co., LTD."
183844MAR0000057,"Founder (""Best Tech Reward"" in 2014 IDEAS Hackathon)",PipoSayPipoSay,Jan 2014 - Oct 2014 · 10 mos,poSayPipoSay
183844MAR0000057,Technical Director (Wired),Condé NastCondé Nast,Nov 2012 - Nov 2013 · 1 yr 1 mo,ndé NastCondé Nast
183844MAR0000057,Incubated Startup,AppWorksAppWorks,Dec 2011 - Nov 2013 · 2 yrs,rksAppWorks
183844MAR0000057,Senior Engineer,NovaTekNovaTek,Jul 2008 - Feb 2012 · 3 yrs 8 mos,vaTekNovaTek
183844MAR0000057,"1st Lieutenant, Armored Combat Battalion",ROC Army (Taiwan) ,Jul 2007 - May 2008 · 11 mos,Army (Taiwan) · Full-timeROC Army (Taiwan) · Full-time
183954KAI0000059,Data Scientist for Insurance Fraud Detection,Shift Technology ,Feb 2023 - Present · 11 mos,ft Technology · PermanentShift Technology · Permanent
183954KAI0000059,Competitions Master (with solo participations only),KaggleKaggle,Mar 2019 - Present · 4 yrs 10 mos,eKaggle
183954KAI0000059,Freelance Academic Researcher,Self-employed,Jun 2023 - Present · 7 mos,lf-employedSelf-employed
183954KAI0000059,Data Analyst for Chatbots,"rinna Co., Ltd. ",Jun 2022 - Jan 2023 · 8 mos,"nna Co., Ltd. · Permanentrinna Co., Ltd. · Permanent"
183954KAI0000059,Support Engineer for Chatbots,Microsoft ,Apr 2021 - Jun 2022 · 1 yr 3 mos,icrosoft · PermanentMicrosoft · Permanent
183954KAI0000059,Support Engineer Intern,Microsoft ,Feb 2020 · 1 mo,icrosoft · InternshipMicrosoft · Internship
183954KAI0000059,Research and Development Intern,Nanyang Technological University ,Sep 2018 - Nov 2018 · 3 mos,Technological University · InternshipNanyang Technological University · Internship
183954KAI0000059,Research and Development Intern,Orion Health ,Nov 2017 - Feb 2018 · 4 mos,on Health · InternshipOrion Health · Internship
184030NEI0000060,Lead Engineer,Jazel ,Dec 2023 - Present · 1 mo,l · PermanentJazel · Permanent
184030NEI0000060,Professor,Transport and Telecommunication Institute (TSI)Transport and Telecommunication Institute (TSI),Sep 2016 - Present · 7 yrs 4 mos,rt and Telecommunication Institute (TSI)Transport and Telecommunication Institute (TSI)
184030NEI0000060,Founder,Active IntelligenceActive Intelligence,Jun 2015 - Present · 8 yrs 7 mos,ive IntelligenceActive Intelligence
184030NEI0000060,Professor (AI/ML),DCODE NETWORKDCODE NETWORK,Sep 2020 - Present · 3 yrs 4 mos,CODE NETWORKDCODE NETWORK
184030NEI0000060,Advisory Board Member,"Angels, IncAngels, Inc",Aug 2016 - Present · 7 yrs 5 mos,"ls, IncAngels, Inc"
184030NEI0000060,Advisor,Kanji Learning LabKanji Learning Lab,Apr 2009 - Present · 14 yrs 9 mos, Learning LabKanji Learning Lab
184030NEI0000060,Advisor,The Quantified SelfThe Quantified Self,Oct 2009 - Present · 14 yrs 3 mos, Quantified SelfThe Quantified Self
184030NEI0000060,Senior Data Scientist,Visa ,Jun 2021 - Dec 2023 · 2 yrs 7 mos,sa · PermanentVisa · Permanent
184030NEI0000060,Advisor,GruberieGruberie,Jan 2014 - Jan 2017 · 3 yrs 1 mo,rieGruberie
184030NEI0000060,Visiting Scholar,Stanford UniversityStanford University,Jan 2010 - Jan 2017 · 7 yrs 1 mo,anford UniversityStanford University
184030NEI0000060,Assistant Professor,The University of Electro-CommunicationsThe University of Electro-Communications,Jan 2008 - Apr 2015 · 7 yrs 4 mos, University of Electro-CommunicationsThe University of Electro-Communications
184030NEI0000060,Research Fellow,Tokyo Institute of TechnologyTokyo Institute of Technology,Oct 2005 - Oct 2008 · 3 yrs 1 mo,kyo Institute of TechnologyTokyo Institute of Technology
184030NEI0000060,Researcher,LucQELucQE,May 2003 - Aug 2005 · 2 yrs 4 mos,
184030NEI0000060,Software Engineer,CTSCTS,Dec 2001 - Aug 2003 · 1 yr 9 mos,
184030NEI0000060,Software Engineer,NIC Inc.NIC Inc.,Jan 2000 - Sep 2001 · 1 yr 9 mos,Inc.NIC Inc.
184030NEI0000060,Software Engineer,Educational Testing Service (ETS)Educational Testing Service (ETS),May 1999 - Jan 2000 · 9 mos,ucational Testing Service (ETS)Educational Testing Service (ETS)
184030NEI0000060,Research Assistant,Brigham Young UniversityBrigham Young University,Sep 1998 - May 1999 · 9 mos,gham Young UniversityBrigham Young University
184030NEI0000060,Software Engineer,Corel CorporationCorel Corporation,Apr 1998 - Sep 1998 · 6 mos,rel CorporationCorel Corporation
184030NEI0000060,Lab Supervisor,Frank Phillips CollegeFrank Phillips College,May 1995 - May 1997 · 2 yrs 1 mo,Phillips CollegeFrank Phillips College
184106TER0000061,Personal goal pursuit,Career BreakCareer Break,Mar 2023 - Present · 10 mos,er BreakCareer Break
184106TER0000061,Data Scientist,Japan Data Science Consortium ,Apr 2020 - Feb 2023 · 2 yrs 11 mos,Data Science Consortium · PermanentJapan Data Science Consortium · Permanent
184106TER0000061,Data Scientist,SoftBank ,Oct 2019 - Mar 2020 · 6 mos,ftBank · PermanentSoftBank · Permanent
184135KEN0000062,Applied Data Scientist,dunnhumby ,Mar 2023 - Present · 10 mos,unnhumby · Permanentdunnhumby · Permanent
184718TOS0000072,Data Analyst,株式会社unerry ,Oct 2023 - Present · 3 mos,rry · Permanent株式会社unerry · Permanent
184718TOS0000072,Machine Learning Engineer,The Commons XR ,Jan 2022 - Jul 2023 · 1 yr 7 mos, Commons XR · Part-timeThe Commons XR · Part-time
184718TOS0000072,Research Assistant,Cornell SC Johnson College of Business ,Aug 2021 - Dec 2022 · 1 yr 5 mos,rnell SC Johnson College of Business · Part-timeCornell SC Johnson College of Business · Part-time
184718TOS0000072,Data Scientist,Forest AI ,Jun 2022 - Oct 2022 · 5 mos,rest AI · InternshipForest AI · Internship
184718TOS0000072,Data Scientist,SAP ,Jun 2022 - Aug 2022 · 3 mos,· InternshipSAP · Internship
184718TOS0000072,Teaching Assistant,Cornell University ,Aug 2020 - May 2022 · 1 yr 10 mos,rnell University · Part-timeCornell University · Part-time
184718TOS0000072,Global IT,Mizuho ,Jun 2020 - Aug 2020 · 3 mos,izuho · InternshipMizuho · Internship
185701SHO0000089,"Data Engineer, Data Scientist",Recruit Group ,Apr 2021 - Present · 2 yrs 9 mos,cruit Group · PermanentRecruit Group · Permanent
185701SHO0000089,Research Assistant,早稲田大学 WASEDA University早稲田大学 WASEDA University,Nov 2021 - Dec 2022 · 1 yr 2 mos,WASEDA University早稲田大学 WASEDA University
185701SHO0000089,Programming Teaching Assistant,角川ドワンゴ学園 ,Apr 2020 - Mar 2021 · 1 yr,· Internship角川ドワンゴ学園 · Internship
185701SHO0000089,技術研修生,National Institute of Advanced Industrial Science and Technology (AIST) ,Apr 2019 - Mar 2021 · 2 yrs,ional Institute of Advanced Industrial Science and Technology (AIST) · ApprenticeshipNational Institute of Advanced Industrial Science and Technology (AIST) · Apprenticeship
185701SHO0000089,Data Specialist,Recruit Group ,Feb 2020 - Mar 2020 · 2 mos,cruit Group · InternshipRecruit Group · Internship
185701SHO0000089,ITエンジニア,みずほ情報総研（株） ,Sep 2019 · 1 mo,· Internshipみずほ情報総研（株） · Internship
185701SHO0000089,データサイエンス事業部,かっこ株式会社 ,Nov 2017 - Apr 2018 · 6 mos,· Internshipかっこ株式会社 · Internship
190026CLA0000095,Biostatistician,IT&M STATSIT&M STATS,Nov 2019 - Dec 2020 · 1 yr 2 mos, STATSIT&M STATS
190026CLA0000095,Data Scientist,OrangeOrange,Nov 2018 - Aug 2019 · 10 mos,Orange
190026CLA0000095,Data Engineer / Data Scientist,Hachette LivreHachette Livre,Mar 2018 - Aug 2018 · 6 mos,tte LivreHachette Livre
190026CLA0000095,Research project,University of Tokyo (TODAI)University of Tokyo (TODAI),Apr 2017 - Jul 2017 · 4 mos,versity of Tokyo (TODAI)University of Tokyo (TODAI)
190026CLA0000095,Data Scientist,ShorTouchShorTouch,Feb 2017 - Mar 2017 · 2 mos,rTouchShorTouch
190026CLA0000095,Audit assignment,Humanair MédicalHumanair Médical,Jan 2017 · 1 mo,r MédicalHumanair Médical
190026CLA0000095,Industrial placement,SafranSafran,Feb 2016 · 1 mo,
190626ADI0000107,Product Data Scientist,Wahed ,Apr 2023 - Present · 9 mos,d · Full-timeWahed · Full-time
190839PAN0000112,Principal Data Scientist,Ascent ,Nov 2021 - Mar 2023 · 1 yr 5 mos,nt · ContractAscent · Contract
190839PAN0000112,Senior Machine Learning Engineer,Algomo ,Jun 2021 - Oct 2021 · 5 mos,gomo · ContractAlgomo · Contract
190839PAN0000112,NLP Engineer,HX ,Nov 2020 - May 2021 · 7 mos,· ContractHX · Contract
190839PAN0000112,Senior Data Scientist,"AXA XL, a division of AXA ",Nov 2019 - Jul 2020 · 9 mos,"XL, a division of AXA · ContractAXA XL, a division of AXA · Contract"
190839PAN0000112,Senior Data Scientist,IHS MarkitIHS Markit,Jun 2017 - Jun 2019 · 2 yrs 1 mo,MarkitIHS Markit
190839PAN0000112,"VP, Sr. Data Scientist",BarclaysBarclays,Jun 2015 - Jun 2017 · 2 yrs 1 mo,aysBarclays
190839PAN0000112,Senior Scientific Engineer,QuantcastQuantcast,Oct 2014 - Jun 2015 · 9 mos,castQuantcast
190933MOS0000114,Data Scientist,Founder and Lightning ,Feb 2023 - Present · 11 mos,under and Lightning · Full-timeFounder and Lightning · Full-time
193351TOM0000116,Data Science Manager,ASOS.com ,Jul 2022 - Present · 1 yr 6 mos,m · Full-timeASOS.com · Full-time
193509RAJ0000119,Data Scientist,CACI Ltd ,Oct 2019 - Present · 4 yrs 3 mos,Ltd · Full-timeCACI Ltd · Full-time
193509RAJ0000119,Data Analyst,Exii ,Sep 2019 · 1 mo,i · ContractExii · Contract
193509RAJ0000119,Data Scientist,BJSSBJSS,Nov 2017 - Feb 2019 · 1 yr 4 mos,
193509RAJ0000119,Student,General AssemblyGeneral Assembly,Jun 2017 - Sep 2017 · 4 mos,neral AssemblyGeneral Assembly
193509RAJ0000119,Actuarial Analyst,Lockton CompaniesLockton Companies,Apr 2015 - Jun 2016 · 1 yr 3 mos,ckton CompaniesLockton Companies
193509RAJ0000119,"Senior Manager, Pensions Risk",Lloyds Banking GroupLloyds Banking Group,Aug 2013 - Mar 2014 · 8 mos,oyds Banking GroupLloyds Banking Group
193509RAJ0000119,"Senior Consultant, Corporate Pensions",Aon HewittAon Hewitt,Aug 1995 - Jul 2012 · 17 yrs,n HewittAon Hewitt
193537HER0000120,Head of Data Science,The Economist ,Jul 2022 - Present · 1 yr 6 mos, Economist · Full-timeThe Economist · Full-time
194024LAU0000130,Principal Data Scientist,HM Treasury ,Mar 2023 - Present · 10 mos, Treasury · Full-timeHM Treasury · Full-time
194210DEA0000134,Senior Data Scientist,Team ITG ,Dec 2022 - Present · 1 yr 1 mo,am ITG · Full-timeTeam ITG · Full-time
194450ELE0000140,Data Scientist,Brambles ,Apr 2023 - Present · 9 mos,es · Full-timeBrambles · Full-time
194521CHR0000141,Principal / Staff Data Scientist,Meta ,Oct 2023 - Present · 3 mos,eta · Full-timeMeta · Full-time
194547ISA0000142,Data Scientist,AstraZeneca ,Jun 2020 - Present · 3 yrs 7 mos,raZeneca · Full-timeAstraZeneca · Full-time
194547ISA0000142,Data Scientist,Beamly ,Mar 2019 - Mar 2020 · 1 yr 1 mo,amly · Full-timeBeamly · Full-time
194930NIS0000150,Technical Writer,EscherCloud ,Jun 2022 - Present · 1 yr 7 mos,rCloud · Full-timeEscherCloud · Full-time
195026OME0000152,Data Scientist,Meta ,Dec 2021 - Present · 2 yrs 1 mo,eta · Full-timeMeta · Full-time
195026OME0000152,Data Scientist,Unity ,Jan 2021 - Oct 2021 · 10 mos,ty · Full-timeUnity · Full-time
195026OME0000152,Data Scientist,Futurice ,Jan 2020 - Dec 2020 · 1 yr,urice · Full-timeFuturice · Full-time
195026OME0000152,Data Lead,Google Developers ,Sep 2019 - Aug 2020 · 1 yr,ogle Developers · ContractGoogle Developers · Contract
195026OME0000152,Teacher Assistant,Aalto University ,Oct 2019 - May 2020 · 8 mos,to University · ContractAalto University · Contract
195026OME0000152,Data Science Intern,TruecallerTruecaller,May 2019 - Aug 2019 · 4 mos,callerTruecaller
195026OME0000152,Data Scientist,Upbeater ,Dec 2018 - Jun 2019 · 7 mos,ater · ContractUpbeater · Contract
195026OME0000152,Member Of Technical Staff,CareemCareem,Jul 2017 - Aug 2018 · 1 yr 2 mos,emCareem
195026OME0000152,Software Dev Engineer,SymantecSymantec,Jan 2016 - Jul 2017 · 1 yr 7 mos,ecSymantec
195053BOB0000153,Data Scientist,Haleon ,Oct 2022 - Present · 1 yr 3 mos,eon · Full-timeHaleon · Full-time
195119ABB0000154,Senior Data Scientist,HumnHumn,Sep 2023 - Present · 4 mos,
195119ABB0000154,Data Consultant,ICA ICA,Jan 2023 - Sep 2023 · 9 mos,ICA
195119ABB0000154,Data Science Lead,TamocoTamoco,May 2022 - Dec 2022 · 8 mos,coTamoco
